Location ID,ZIP Code,Borough,Council district,Requesting precinct,Conduct or complaint that led to requested operation: Disorderly Patrons,Conduct or complaint that led to requested operation: Elevated sound,Conduct or complaint that led to requested operation: Harrassment,Conduct or complaint that led to requested operation: Larceny,Conduct or complaint that led to requested operation: Physical assault,Conduct or complaint that led to requested operation: Promotion of gambling,Conduct or complaint that led to requested operation: Robbery,Conduct or complaint that led to requested operation: Sale of alcohol to a minor,Conduct or complaint that led to requested operation: Traffic issues,Conduct or complaint that led to requested operation: Unlicensed sale of alcohol,Conduct or complaint that led to requested operation: Violent activity with a weapon,Date of inspection,Time of visitation (hh:mm:ss),M.A.R.C.H inspection,Inspection duration (min),Inspectors from DEP present,Inspectors from DOB present,Inspectors from DOHMH present,Inspectors from FDNY present,Inspectors from NYPD present,Total inspectors from City government agencies present,Summonses issed by DEP,Summonses issed by DOB,Summonses issed by DOHMH,Summonses issed by FDNY,Summonses issed by NYPD,Total Summonses issued by City government agencies,Closure of establishment?,Closure duration (min),Written Notices pursuant to Admin. Code § 14-181
1,"11,105",Queens,22,114,,5,,,,,,,,,,04/09/2021 12:00:00 AM,10:00:00 PM,,5,,,,,5,5,,,,,,,false,,
1,"10,037",Manhattan,9,32,1,,,1,,,1,,1,,,01/10/2020 12:00:00 AM,10:30:00 PM,1,90,2,2,2,2,12,20,1,2,3,3,2,11,false,,
2,"10,027",Manhattan,9,32,,,,1,2,,1,,,,3,01/10/2020 12:00:00 AM,11:30:00 PM,1,80,2,2,2,2,12,20,0,0,0,1,0,1,false,,
3,"10,030",Manhattan,9,32,3,1,,,3,,,,1,,,01/11/2020 12:00:00 AM,12:40:00 AM,1,145,2,2,2,2,12,20,0,0,0,0,0,0,false,,
4,"10,463",The Bronx,11,50,1,,,,1,,,,,,1,01/17/2020 12:00:00 AM,10:50:00 PM,1,100,2,2,2,2,13,21,0,0,3,1,0,4,false,,
5,"10,302",Staten Island,49,121,2,1,2,,1,,,,,,,01/24/2020 12:00:00 AM,10:40:00 PM,1,117,0,2,2,0,11,15,,1,6,,0,7,false,,
6,"10,302",Staten Island,49,121,2,,,7,,,,,,1,,01/25/2020 12:00:00 AM,12:00:00 AM,1,180,0,2,2,0,11,15,,1,2,,0,3,false,,
7,"11,103",Queens,22,114,1,,,3,2,,1,,,,1,01/31/2020 12:00:00 AM,10:40:00 PM,1,80,0,2,2,0,13,17,,1,5,,2,8,false,,
8,"11,103",Queens,22,121,1,,,2,2,,,,10,,,02/01/2020 12:00:00 AM,12:05:00 AM,1,95,0,2,2,0,13,17,,0,6,,1,7,false,,
9,"11,103",Queens,26,114,1,,,1,1,,,,,,1,02/01/2020 12:00:00 AM,1:40:00 AM,1,66,0,2,2,0,13,17,,0,6,,2,8,false,,
